Priority Tier,Contact Quality,Business Name,Category,Phone Number,Status,AI Receptionist,Appointment Scheduled?,Call Attempts,Notes,Last Contacted
Tier 1 - High Priority,Phone Only,A/C Engineers,HVAC,(904) 213-9300,Haven't Called,,,,,3/17/2026
Tier 1 - High Priority,Complete,A/C Masters Enterprises,HVAC,(904) 672-8833,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,AC Designs Heating & Air Conditioning,HVAC,(904) 829-8898,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,AC Panda Mechanical Contractors,HVAC,(904) 370-3918,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Air Element Ac and Heating,HVAC,(904) 400-0000,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Air to Air Inc.,HVAC,904-262-4279,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Air-Masters,HVAC,(904) 887-9444,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"All Repair Heat and Air, LLC",HVAC,904-900-4520,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,All-Seasons Heating & Air,HVAC,904-398-5720,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Arctic Care,HVAC,(904) 473-1345,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,B&G Refrigeration,HVAC,(904) 620-0081,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Bold City Heating & Air,HVAC,(904) 379-1648,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Bold City Heating and Air,HVAC,(904) 513-3158,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Buehler Air & Plumbing,HVAC,(904) 233-8831,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Buehler Air Conditioning & Plumbing,HVAC,(904) 233-8831,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Charlie's Tropic Heating & Air,HVAC,(904) 246-8800,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Chills On Wheels Heating & Air Contractors, Inc.",HVAC,904-820-3500,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Comfort Zone of North Florida,HVAC,(904) 406-0070,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Cool Cats Heating and Cooling,HVAC,(904) 379-8706,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Cool R Us, Inc A/C & Heating",HVAC,(904) 592-0651,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"David Gray - Electrical, Plumbing, Heating & Air",HVAC,904-605-8190,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Del-Air,HVAC,(904) 337-6219,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Del-Air Plumbing, Air Conditioning, Electric",HVAC,904-337-6219,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Donovan Air, Electric & Plumbing",HVAC,(904) 241-3785,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Donovan Heat & Air,HVAC,(904) 241-3785,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Duck Duck Rooter Plumbing, AC & Septic Services",HVAC,(904) 206-8512,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Elite AC, LLC",HVAC,904-323-4648,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,"Evans Air Conditioning, Inc.",HVAC,(904) 779-1112,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Florida Air Flow Heating & Air,HVAC,(904) 982-9731,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Florida Home Air Conditioning,HVAC,(904) 990-8633,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Floridian Heating & Air Inc,HVAC,904-993-0300,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Guardian HVAC LLC (Guardian Heating and Air),HVAC,(904) 776-4225,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,HL Marco HVAC LLC,HVAC,(904) 373-8662,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Hammond Air Conditioning, Inc.",HVAC,904-398-6488,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Hammond Heating & Air,HVAC,(904) 893-0131,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Hammond Heating & Air Conditioning,HVAC,(904) 893-3341,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Howard Services Air Conditioning,HVAC,(904) 398-1414,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Huggins Heating & Air,HVAC,904-832-6610,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Ideal Conditions Heating & Air Conditioning,HVAC,(904) 379-8762,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,J&W Heating and Air + Plumbing,HVAC,(904) 980-0809,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Jack Strickland Heating & Air Conditioning Company,HVAC,904-388-3507,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Jax All Pro Maintenance,HVAC,904-483-8542,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Lickety Split,HVAC,(904) 410-2400,Haven't Called,,,,,3/27/2026
